787: 601,1238,367,708
788: 656,829,1284,779,1141,97,888
789: 1274,1013,34,661,244
790: 801,854,528,606,524,246
1263: 26,1061,1155,471
792: 205,354,590,304,411,874
793: 1225,384,469,219,695,963
794: 55,762,620,529,908,413,1190,686
795: 1231,386,822,928,23,530
1278: 426,514,1277,35,1302,733
797: 77,864,1055,655
798: 176,632,214,1081,1062,352,517
799: 195,957,924,53,1301,847,46
800: 929,1233,710,623
801: 790,854,779,124,606,829
802: 553,809,824,1253,571
803: 690,649,1243,9,307,163
804: 292,1229,210,1073
805: 271,125,956,637,961
806: 52,1104,467,69,697,989
1133: 460,1096,1099,1022,1047,1098
1132: 786,1110,1167,909,1185,1100
809: 553,802,824,302,978,142
810: 1081,221,91,1075,767,466
811: 512,839,173,959,381,783
1213: 1160,1292,883,1178,57,991
813: 215,663,447,658,887,325
814: 501,49,1290,1169,285
815: 624,87,610,132,577,780
816: 57,579,1204,98,317,1101
1233: 651,1271,710,1252,623,800
818: 975,644,521,510,463,534
819: 507,534,333,644,1125,194
820: 1084,319,1265,613,734,155
821: 1166,1010,1004,723
822: 1231,795,23,754,823
823: 867,909,584,754,822
824: 538,419,1253,809,802
825: 310,992,40,242,238,934
826: 599,885,117,726
1130: 1166,1194,1152,684,521,975
1284: 788,1242,1141,97,639
829: 656,788,124,418,801,779
830: 961,652,254,1140,314,186
831: 598,873,165,178,326
832: 360,992,40,356,1273,1283
1281: 1136,153,1247,1118
834: 360,685,238,355,985,40
835: 1053,1017,671,36
836: 309,899,86,498,251,375
837: 677,858,608,492,419,951
838: 863,283,363,926,1227,389
839: 391,173,450,494,37,811
840: 1195,1125,1002,1066,433,194,768
841: 555,682,884,237
842: 736,16,309,899
843: 564,904,1293,735
844: 1017,942,5,1183
1137: 1015,244,1295,482,1161
846: 269,1289,1073,519,614,1173
847: 678,46,799
848: 959,955
1173: 672,1303,846,1289,614,1007
850: 282,412,328,248,177,862,369
851: 148,387,399
852: 1257,979,445,327,546,994
1172: 1184,1038,1151,1115,1150,1163
854: 801,790,779,393,246,612
855: 56,1059
856: 217,716,167,215,325,329
857: 362,956,241,871,562,189
858: 677,837,419,302,375
859: 445,1280,62,979
860: 1036,409,1299,1039,664
861: 137,1211,999,37,1288,1298
862: 359,920,177,850,369,785
863: 838,363,926,662,741,473
864: 1209,186,1055,229,655,797
865: 53,897,481,513,1296,878,759
866: 729,376,55,33,620,1091
867: 823,909,1185,1285,247
1299: 1036,860,1265,1260,506,664
869: 994,546,718,276
1237: 289,662,1245,741
871: 1294,530,562,386,241,857
872: 564,236,249,15,476,85
873: 598,583,831,607,326,217
874: 8,411,379,792,590
875: 972,750,1276,154,1294,562
876: 67,774,1145,692,1027
877: 50,897,1301,200,976,924
878: 58,496,513,865,759,713
1222: 197,364,1221,1215,1175,676
1243: 690,803,163,410,447
881: 445,979
882: 625,250,108,479
883: 1213,1292,315,57,712,1204
884: 555,682,841,747,1220,680
885: 599,122,826,726,216,719
886: 415,708,535,185
887: 658,1236,479,813,447
888: 985,97,779,393,788,63
1271: 651,948,389,1233,653,1252
890: 1102,331,1109,1094
1260: 906,453,155,1265,1299,506
892: 565,1272
893: 543,738,1223,969
1171: 1161,1057,482,1120,1157,1112
895: 189,949,367,668,306,601
1221: 197,1222,38,585,1215
897: 53,865,1301,303,1296,877,50
1259: 182,403,987,1297,80
899: 836,309,251,736,842,567
900: 315,968,1044,730,436,572
901: 423,1103,675,1031,1065,146
902: 150,338,480,271,531,125
1203: 476,85,28,305,706,25
904: 628,720,84,131,843,564
905: 623,926,651,473
906: 453,155,1260,1235,402,335
1162: 201,1022,1056,1003,1099,1122
908: 413,762,794
909: 867,823,1185,584,1132,1167
1264: 666,933,104,258,952
1206: 
912: 240,1230,639,933,1242,544
